2026-08-10 05:14:53,697 | 41702 | 4613633536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492433267534364893(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x10c34fa30>
2026-08-10 12:25:27,884 | 50770 | 4660352512 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492541623846258092(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x11fccc520>
2026-08-10 14:16:31,242 | 53019 | 4376536576 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492569572128807073(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x1198a0520>
[US.TSLA] snapshot saved: 2144 contracts -> US_TSLA_2026-08-10.csv
[US.NVDA] snapshot saved: 1236 contracts -> US_NVDA_2026-08-10.csv
watching 24 contracts, polling every 30s. Ctrl-C to stop.

loaded 9925 previously-seen ticks from disk
16:28:05  new ticks: 59  (cumulative unique: 30104)
16:28:39  new ticks: 56  (cumulative unique: 30160)
16:29:14  new ticks: 56  (cumulative unique: 30216)
16:29:48  new ticks: 63  (cumulative unique: 30279)
16:30:22  new ticks: 94  (cumulative unique: 30373)
16:30:57  new ticks: 74  (cumulative unique: 30447)
16:31:31  new ticks: 99  (cumulative unique: 30546)
16:32:06  new ticks: 55  (cumulative unique: 30601)
16:32:40  new ticks: 61  (cumulative unique: 30662)
16:33:14  new ticks: 45  (cumulative unique: 30707)
16:33:49  new ticks: 55  (cumulative unique: 30762)
16:34:23  new ticks: 76  (cumulative unique: 30838)
16:34:57  new ticks: 90  (cumulative unique: 30928)
16:35:32  new ticks: 98  (cumulative unique: 31026)
16:36:06  new ticks: 76  (cumulative unique: 31102)
16:36:41  new ticks: 55  (cumulative unique: 31157)
16:37:15  new ticks: 77  (cumulative unique: 31234)
16:37:49  new ticks: 43  (cumulative unique: 31277)
16:38:24  new ticks: 40  (cumulative unique: 31317)
16:38:58  new ticks: 79  (cumulative unique: 31396)
16:39:32  new ticks: 65  (cumulative unique: 31461)
16:40:07  new ticks: 67  (cumulative unique: 31528)
16:40:41  new ticks: 75  (cumulative unique: 31603)
16:41:15  new ticks: 42  (cumulative unique: 31645)
16:41:50  new ticks: 42  (cumulative unique: 31687)
16:42:24  new ticks: 52  (cumulative unique: 31739)
16:42:58  new ticks: 61  (cumulative unique: 31800)
16:43:33  new ticks: 46  (cumulative unique: 31846)
16:44:07  new ticks: 85  (cumulative unique: 31931)
16:44:42  new ticks: 168  (cumulative unique: 32099)
16:45:16  new ticks: 56  (cumulative unique: 32155)
16:45:50  new ticks: 106  (cumulative unique: 32261)
16:46:25  new ticks: 65  (cumulative unique: 32326)
16:46:59  new ticks: 59  (cumulative unique: 32385)
16:47:34  new ticks: 56  (cumulative unique: 32441)
16:48:08  new ticks: 52  (cumulative unique: 32493)
16:48:42  new ticks: 39  (cumulative unique: 32532)
16:49:18  new ticks: 41  (cumulative unique: 32573)
16:49:52  new ticks: 48  (cumulative unique: 32621)
16:50:26  new ticks: 58  (cumulative unique: 32679)
16:51:01  new ticks: 65  (cumulative unique: 32744)
16:51:35  new ticks: 47  (cumulative unique: 32791)
16:52:09  new ticks: 51  (cumulative unique: 32842)
16:52:44  new ticks: 57  (cumulative unique: 32899)
16:53:18  new ticks: 78  (cumulative unique: 32977)
16:53:53  new ticks: 77  (cumulative unique: 33054)
16:54:27  new ticks: 62  (cumulative unique: 33116)
16:55:01  new ticks: 48  (cumulative unique: 33164)
16:55:36  new ticks: 63  (cumulative unique: 33227)
16:56:10  new ticks: 59  (cumulative unique: 33286)
16:56:44  new ticks: 48  (cumulative unique: 33334)
16:57:19  new ticks: 61  (cumulative unique: 33395)
16:57:53  new ticks: 52  (cumulative unique: 33447)
16:58:27  new ticks: 70  (cumulative unique: 33517)
16:58:59  new ticks: 58  (cumulative unique: 33575)
16:59:31  new ticks: 43  (cumulative unique: 33618)
17:00:02  new ticks: 64  (cumulative unique: 33682)
17:00:33  new ticks: 127  (cumulative unique: 33809)
17:01:05  new ticks: 83  (cumulative unique: 33892)
17:01:36  new ticks: 103  (cumulative unique: 33995)
17:02:07  new ticks: 74  (cumulative unique: 34069)
17:02:39  new ticks: 166  (cumulative unique: 34235)
17:03:10  new ticks: 86  (cumulative unique: 34321)
17:03:42  new ticks: 60  (cumulative unique: 34381)
17:04:13  new ticks: 63  (cumulative unique: 34444)
17:04:44  new ticks: 61  (cumulative unique: 34505)
17:05:16  new ticks: 77  (cumulative unique: 34582)
17:05:47  new ticks: 45  (cumulative unique: 34627)
17:06:19  new ticks: 60  (cumulative unique: 34687)
17:06:50  new ticks: 55  (cumulative unique: 34742)
17:07:21  new ticks: 42  (cumulative unique: 34784)
17:07:53  new ticks: 46  (cumulative unique: 34830)
17:08:24  new ticks: 46  (cumulative unique: 34876)
17:08:56  new ticks: 58  (cumulative unique: 34934)
17:09:27  new ticks: 73  (cumulative unique: 35007)
17:09:58  new ticks: 50  (cumulative unique: 35057)
17:10:30  new ticks: 53  (cumulative unique: 35110)
17:11:01  new ticks: 41  (cumulative unique: 35151)
17:11:32  new ticks: 53  (cumulative unique: 35204)
17:12:04  new ticks: 83  (cumulative unique: 35287)
17:12:35  new ticks: 63  (cumulative unique: 35350)
17:13:07  new ticks: 56  (cumulative unique: 35406)
17:13:38  new ticks: 31  (cumulative unique: 35437)
17:14:09  new ticks: 38  (cumulative unique: 35475)
17:14:41  new ticks: 33  (cumulative unique: 35508)
17:15:12  new ticks: 27  (cumulative unique: 35535)
17:15:44  new ticks: 58  (cumulative unique: 35593)
17:16:15  new ticks: 59  (cumulative unique: 35652)
17:16:47  new ticks: 52  (cumulative unique: 35704)
17:17:18  new ticks: 42  (cumulative unique: 35746)
17:17:49  new ticks: 43  (cumulative unique: 35789)
17:18:21  new ticks: 46  (cumulative unique: 35835)
17:18:52  new ticks: 65  (cumulative unique: 35900)
17:19:24  new ticks: 71  (cumulative unique: 35971)
17:19:55  new ticks: 35  (cumulative unique: 36006)
17:20:27  new ticks: 55  (cumulative unique: 36061)
17:20:58  new ticks: 47  (cumulative unique: 36108)
17:21:29  new ticks: 47  (cumulative unique: 36155)
17:22:01  new ticks: 48  (cumulative unique: 36203)
17:22:32  new ticks: 35  (cumulative unique: 36238)
17:23:04  new ticks: 38  (cumulative unique: 36276)
17:23:35  new ticks: 149  (cumulative unique: 36425)
17:24:07  new ticks: 74  (cumulative unique: 36499)
17:24:38  new ticks: 63  (cumulative unique: 36562)
17:25:09  new ticks: 46  (cumulative unique: 36608)
17:25:41  new ticks: 82  (cumulative unique: 36690)
17:26:12  new ticks: 87  (cumulative unique: 36777)
17:26:44  new ticks: 75  (cumulative unique: 36852)
17:27:15  new ticks: 50  (cumulative unique: 36902)
17:27:46  new ticks: 37  (cumulative unique: 36939)
17:28:18  new ticks: 82  (cumulative unique: 37021)
17:28:49  new ticks: 86  (cumulative unique: 37107)
17:29:21  new ticks: 50  (cumulative unique: 37157)
17:29:52  new ticks: 93  (cumulative unique: 37250)
17:30:24  new ticks: 120  (cumulative unique: 37370)
17:30:55  new ticks: 88  (cumulative unique: 37458)
17:31:26  new ticks: 52  (cumulative unique: 37510)
17:31:58  new ticks: 62  (cumulative unique: 37572)
17:32:29  new ticks: 130  (cumulative unique: 37702)
17:33:01  new ticks: 53  (cumulative unique: 37755)
17:33:32  new ticks: 79  (cumulative unique: 37834)
17:34:04  new ticks: 60  (cumulative unique: 37894)
17:34:35  new ticks: 67  (cumulative unique: 37961)
17:35:07  new ticks: 131  (cumulative unique: 38092)
17:35:38  new ticks: 135  (cumulative unique: 38227)
17:36:10  new ticks: 84  (cumulative unique: 38311)
17:36:41  new ticks: 113  (cumulative unique: 38424)
17:37:13  new ticks: 99  (cumulative unique: 38523)
17:37:44  new ticks: 102  (cumulative unique: 38625)
17:38:15  new ticks: 103  (cumulative unique: 38728)
17:38:47  new ticks: 94  (cumulative unique: 38822)
17:39:18  new ticks: 78  (cumulative unique: 38900)
17:39:50  new ticks: 93  (cumulative unique: 38993)
17:40:21  new ticks: 106  (cumulative unique: 39099)
17:40:53  new ticks: 102  (cumulative unique: 39201)
17:41:24  new ticks: 87  (cumulative unique: 39288)
17:41:56  new ticks: 90  (cumulative unique: 39378)
17:42:27  new ticks: 55  (cumulative unique: 39433)
17:42:59  new ticks: 84  (cumulative unique: 39517)
17:43:30  new ticks: 52  (cumulative unique: 39569)
17:44:02  new ticks: 57  (cumulative unique: 39626)
17:44:33  new ticks: 59  (cumulative unique: 39685)
17:45:05  new ticks: 70  (cumulative unique: 39755)
17:45:36  new ticks: 95  (cumulative unique: 39850)
17:46:08  new ticks: 101  (cumulative unique: 39951)
17:46:39  new ticks: 67  (cumulative unique: 40018)
17:47:11  new ticks: 74  (cumulative unique: 40092)
17:47:42  new ticks: 42  (cumulative unique: 40134)
17:48:14  new ticks: 48  (cumulative unique: 40182)
17:48:45  new ticks: 50  (cumulative unique: 40232)
17:49:17  new ticks: 65  (cumulative unique: 40297)
17:49:48  new ticks: 51  (cumulative unique: 40348)
17:50:20  new ticks: 67  (cumulative unique: 40415)
17:50:51  new ticks: 56  (cumulative unique: 40471)
17:51:23  new ticks: 52  (cumulative unique: 40523)
17:51:54  new ticks: 52  (cumulative unique: 40575)
17:52:26  new ticks: 55  (cumulative unique: 40630)
17:52:57  new ticks: 41  (cumulative unique: 40671)
17:53:29  new ticks: 46  (cumulative unique: 40717)
17:54:00  new ticks: 49  (cumulative unique: 40766)
17:54:31  new ticks: 36  (cumulative unique: 40802)
17:55:03  new ticks: 41  (cumulative unique: 40843)
17:55:35  new ticks: 104  (cumulative unique: 40947)
17:56:06  new ticks: 54  (cumulative unique: 41001)
17:56:37  new ticks: 41  (cumulative unique: 41042)
17:57:09  new ticks: 48  (cumulative unique: 41090)
17:57:40  new ticks: 38  (cumulative unique: 41128)
17:58:12  new ticks: 37  (cumulative unique: 41165)
17:58:43  new ticks: 28  (cumulative unique: 41193)
17:59:15  new ticks: 43  (cumulative unique: 41236)
17:59:46  new ticks: 53  (cumulative unique: 41289)
18:00:18  new ticks: 96  (cumulative unique: 41385)
